epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,807.908,0.36244,0.69769,0.75649,0.99258,0.13924,0.20712,0.15278,0.3049,2.23417,0.77722,0.000255592,0.000255592,0.000255592
88,818.74,0.3498,0.64032,0.78444,0.97664,0.13924,0.16905,0.14286,0.30434,2.14281,0.78232,0.000241338,0.000241338,0.000241338
89,829.134,0.28986,0.70664,0.75786,0.97664,0.13924,0.16905,0.14286,0.30434,2.14281,0.78232,0.000226688,0.000226688,0.000226688
90,839.141,0.35198,0.903,0.79808,0.97664,0.13924,0.16905,0.14286,0.30434,2.14281,0.78232,0.000211642,0.000211642,0.000211642
91,849.939,0.34493,0.92919,0.75202,0.97664,0.13924,0.16905,0.14286,0.30434,2.14281,0.78232,0.0001962,0.0001962,0.0001962
92,859.919,0.33484,0.8537,0.80104,0.9687,0.13924,0.18012,0.14041,0.30323,2.10548,0.78285,0.000180362,0.000180362,0.000180362
93,870.094,0.33653,0.94881,0.75272,0.9687,0.13924,0.18012,0.14041,0.30323,2.10548,0.78285,0.000164128,0.000164128,0.000164128
94,880.647,0.32112,0.90164,0.79394,0.9687,0.13924,0.18012,0.14041,0.30323,2.10548,0.78285,0.000147498,0.000147498,0.000147498
95,891.429,0.31222,0.93322,0.76151,0.9687,0.13924,0.18012,0.14041,0.30323,2.10548,0.78285,0.000130472,0.000130472,0.000130472
96,901.784,0.33,0.91147,0.82046,0.96464,0.13924,0.19975,0.14941,0.28132,2.08004,0.78192,0.00011305,0.00011305,0.00011305
97,912.259,0.29784,0.92065,0.80492,0.96464,0.13924,0.19975,0.14941,0.28132,2.08004,0.78192,9.5232e-05,9.5232e-05,9.5232e-05
98,922.376,0.35351,0.92805,0.75099,0.96464,0.13924,0.19975,0.14941,0.28132,2.08004,0.78192,7.7018e-05,7.7018e-05,7.7018e-05
99,933.065,0.31688,0.87706,0.82235,0.96464,0.13924,0.19975,0.14941,0.28132,2.08004,0.78192,5.8408e-05,5.8408e-05,5.8408e-05
100,943.265,0.27826,0.89261,0.70626,0.95573,0.13924,0.19125,0.14671,0.27745,1.97862,0.78044,3.9402e-05,3.9402e-05,3.9402e-05
